4. FACILITY NAME,8. ST,23. INDUSTRY SECTOR,37. CHEMICAL,42. CLEAN AIR ACT CHEMICAL,46. CARCINOGEN,47. PBT,48. PFAS,65. ON-SITE RELEASE TOTAL,88. OFF-SITE RELEASE TOTAL,104. OFF-SITE TREATED TOTAL,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7)
ARBOR PRESERVATIVE SYSTEMS LLC,TN,Chemicals,Anthracene,YES,NO,NO,NO,636.0,0.0,0.0,0.0,636.0,0.0,0.0,0.0,0.0,636.0
HB FULLER CO,OH,Chemicals,Certain glycol ethers,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGINEERED POLYMER SOLUTIONS INC.,IL,Chemicals,Styrene,YES,YES,NO,NO,873.0,0.0,1462.0,17334.0,873.0,0.0,0.0,0.0,1462.0,18207.0
CHEMOURS EL DORADO,AR,Chemicals,Hydrogen fluoride,YES,NO,NO,NO,4717.0,0.0,37.0,37.0,4717.0,0.0,0.0,843.0,37.0,5597.0
FORT AMANDA SPECIALTIES LLC,OH,Chemicals,Formic acid,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRAIRIE ETHANOL LLC (DBA POET BIOREFINING) MITCHELL,SD,Chemicals,Cyclohexane,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYONDELL CHEMICAL CO,TX,Chemicals,Dicyclopentadiene,NO,NO,NO,NO,4137.0,0.0,0.0,0.0,4137.0,0.0,0.0,16382.0,0.0,20519.0
3M CHEMICAL OPERATIONS' CORDOVA FACILITY,IL,Chemicals,Methanol,YES,NO,NO,NO,9379.0,1871.0,202753.0,337780.0,11250.0,0.0,133156.0,33516.0,202753.0,380675.0
JACAM MANUFACTURING 2013 LLC - JACAM SOUTHWEST SONORA,TX,Chemicals,Toluene,YES,NO,NO,NO,750.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,750.0
RICHARD'S PAINT MANUFACTURING INC,FL,Chemicals,Toluene,YES,NO,NO,NO,4989.13,0.0,0.0,0.0,4989.13,0.0,0.0,0.0,0.0,4989.13
ORTEC INC PIEDMONT,SC,Chemicals,Methanol,YES,NO,NO,NO,255.0,0.0,0.0,485081.0,255.0,0.0,50570.0,0.0,0.0,485336.0
MOSAIC FERTILIZER LLC UNCLE SAM PLANT,LA,Chemicals,Lead compounds,YES,NO,YES,NO,26122.9,3.3,0.0,3.3,26126.2,0.0,0.0,0.0,0.0,26016.3
POET BIOREFINING - BINGHAM LAKE LLC,MN,Chemicals,Formaldehyde,YES,YES,NO,NO,629.0,0.0,0.0,0.0,629.0,0.0,0.0,26000.0,0.0,26629.0
SEALMASTER,IN,Chemicals,Polycyclic aromatic compounds,YES,YES,YES,NO,0.355,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.355
1500 SOUTH TIBBS LLC,IN,Chemicals,Acetaldehyde,YES,YES,NO,NO,181.0,0.0,163.0,163.0,181.0,294259.0,0.0,0.0,163.0,295468.0
DAP GLOBAL INC.,MO,Chemicals,Certain glycol ethers,YES,NO,NO,NO,183.3,0.0,0.0,0.0,183.3,0.0,0.0,0.0,0.0,183.3
SHELL NORCO CHEMICAL PLANT WEST SITE,LA,Chemicals,Lead compounds,YES,NO,YES,NO,2.25,39.92,0.0,39.92,42.17,0.0,0.0,0.0,0.0,42.17
SAFC INC.,WI,Chemicals,Dichloromethane,YES,YES,NO,NO,349.5,0.0,20578.0,25028.0,349.5,0.0,0.0,0.0,20578.0,25377.5
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,TX,Chemicals,Acetamide,YES,YES,NO,NO,114093.0,0.0,0.0,0.0,114093.0,0.0,0.0,0.0,0.0,114093.0
LATICRETE INTERNATIONAL INC.,CT,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELTECH MONOMERS OPCO LLC,LA,Chemicals,Styrene,YES,YES,NO,NO,1676.0,0.0,0.0,107884.0,1676.0,12511.0,0.0,12775.0,0.0,155825.0
GOLDEN GRAIN ENERGY LLC,IA,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRODA INC,PA,Chemicals,n-Hexane,YES,NO,NO,NO,6549.2,0.0,0.0,1775.0,6549.2,0.0,774.0,6442.0,0.0,14766.2
CHAMPIONX-ODESSA EAST 528,TX,Chemicals,Toluene,YES,NO,NO,NO,934.81,0.0,0.0,0.0,934.81,0.0,0.0,0.0,0.0,934.81
BASF CORP,KY,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,16.58,0.0,16.58,16.58,0.0,0.0,0.0,0.0,16.58
SHERWIN-WILLIAMS CO,TX,Chemicals,Zinc compounds,NO,NO,NO,NO,17.0,15145.0,0.0,15145.0,15162.0,0.0,0.0,0.0,0.0,15162.0
AGRA RESOURCES LLC (DBA POET GLENVILLE),MN,Chemicals,Methanol,YES,NO,NO,NO,2721.0,0.0,22.0,22.0,2721.0,0.0,0.0,44000.0,22.0,46743.0
POLYNT COMPOSITES USA INC. - MARSHALL,TX,Chemicals,Cobalt compounds,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPG INDUSTRIES OHIO INC CIRCLEVILLE OH,OH,Chemicals,Methanol,YES,NO,NO,NO,72.0,9.0,965.0,974.0,81.0,0.0,0.0,4314.0,965.0,5387.0
WILBUR ELLIS CO LLC RIO LINDA HUB,CA,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATHEON API SERVICES INC.,SC,Chemicals,Toluene,YES,NO,NO,NO,217.0,0.0,0.0,21532.0,217.0,0.0,0.0,0.0,0.0,21749.0
J-LOK CO,PA,Chemicals,Styrene,YES,YES,NO,NO,0.0,33095.0,0.0,33095.0,33095.0,13000.0,0.0,0.0,0.0,46095.0
DOW CHEMICAL CO FREEPORT FACILITY,TX,Chemicals,Ethylene glycol,YES,NO,NO,NO,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0
WESTLAKE PETROCHEMICALS ETHYLENE,LA,Chemicals,n-Hexane,YES,NO,NO,NO,2834.42,0.0,0.0,0.0,2834.42,0.0,0.0,0.0,0.0,2834.42
COVENTYA INC.,OH,Chemicals,Nickel  And Nickel Compounds,YES,YES,NO,NO,0.0,201.56,0.0,201.56,201.56,0.0,0.0,0.0,0.0,201.56
CARGILL CORN MILLING NORTH AMERICA,NE,Chemicals,Zinc compounds,NO,NO,NO,NO,25.9,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,25.9
POLYNT COMPOSITES USA INC,FL,Chemicals,Maleic anhydride,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E R CARPENTER LP,TX,Chemicals,Methanol,YES,NO,NO,NO,4.774,31103.618,357691.608,388795.226,31108.392,0.0,0.0,2857.68,357691.608,391657.68
INDUSTRIAL DIELECTRICS INC.,IN,Chemicals,Zinc compounds,NO,NO,NO,NO,3.0,4283.0,0.0,4283.0,4286.0,0.0,0.0,0.0,0.0,4286.0
SHERWIN-WILLIAMS CO,OH,Chemicals,sec-Butyl alcohol,NO,NO,NO,NO,68.0,93.0,548.0,676.0,161.0,0.0,0.0,6.0,548.0,750.0
IATRIC MANUFACTURING SOLUTIONS LLC,TN,Chemicals,Certain glycol ethers,YES,NO,NO,NO,179.0,14199.12,3508.88,17708.0,14378.12,0.0,0.0,0.0,3508.88,17887.0
PPG INDUSTRIES INC-OAK CREEK,WI,Chemicals,Methyl isobutyl ketone,YES,YES,NO,NO,23869.61,0.0,689437.0,2394341.0,23869.61,13762515.0,0.0,66844.0,689437.0,16247569.61
CHAMPIONX-ODESSA PLANT,TX,Chemicals,Bis(2-chloroethyl) ether,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TESORO REFINING & MARKETING CO LLC,CA,Chemicals,Hydrogen sulfide,NO,NO,NO,NO,3440.0,0.0,0.0,0.0,3440.0,0.0,0.0,1400.0,0.0,4800.0
ADM DECATUR COMPLEX,IL,Chemicals,Manganese  And Manganese Compounds,YES,NO,NO,NO,0.26,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.26
AMERICAS STYRENICS LLC - HANGING ROCK,OH,Chemicals,Styrene,YES,YES,NO,NO,2662.0,0.0,1377.0,25589.0,2662.0,0.0,0.0,0.0,1377.0,33516.0
MYCONE DENTAL SUPPLY CO INC,NJ,Chemicals,Methyl methacrylate,YES,NO,NO,NO,795.0,0.0,9930.0,9930.0,795.0,0.0,0.0,0.0,9930.0,10725.0
FREEPORT_OLIN BC,TX,Chemicals,Chloroform,YES,YES,NO,NO,3892.0,17.0,2561.0,20057.0,3909.0,3073957.71,17479.0,422378.0,2561.0,3520273.798
DEER PARK_TX (ROH),TX,Chemicals,Formaldehyde,YES,YES,NO,NO,2372.0,0.0,0.0,0.0,2372.0,0.0,0.0,5529198.0,0.0,6209528.0
DDP SPECIALTY ELECTRONIC MATERIALS US LLC,MI,Chemicals,Chloromethyl methyl ether,YES,YES,NO,NO,700.0,0.0,1649.0,1649.0,700.0,0.0,0.0,0.0,1649.0,2349.0
EASTMAN KODAK CO EASTMAN BUSINESS PARK,NY,Chemicals,Diethanolamine,YES,NO,NO,NO,0.0,258.0,176.0,434.0,258.0,0.0,0.0,0.0,176.0,434.0
HEARTLAND CORN PRODUCTS,MN,Chemicals,Acetaldehyde,YES,YES,NO,NO,18215.0,0.0,0.0,0.0,18215.0,0.0,0.0,417058.0,0.0,435272.0
CONTRACT PACKAGING INC,GA,Chemicals,Ethylene glycol,YES,NO,NO,NO,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
SHPP US LLC,NY,Chemicals,Toluene,YES,NO,NO,NO,62003.5,1647.0,136259.0,998106.85,63650.5,92000000.0,0.85,1200.0,140000.0,93074204.35
WESTLAKE CHEMICALS & VINYLS LLC,LA,Chemicals,Vinyl chloride,YES,YES,NO,NO,9206.25,0.0,9.47,9.47,9206.25,0.0,0.0,0.0,9.47,4081615.22
ARXADA LLC,PA,Chemicals,Chloroform,YES,YES,NO,NO,498.4,1.347,87.973,89.32,499.747,0.0,0.0,0.0,87.973,587.72
EXXON MOBIL CORP - BATON ROUGE RESIN FINISHING PLANT,LA,Chemicals,Ethylbenzene,YES,YES,NO,NO,69.0,0.0,0.0,0.0,69.0,0.0,0.0,284.0,0.0,353.0
DURA COAT PRODUCTS INC (AXALTA COATING SYSTEMS),CA,Chemicals,Zinc compounds,NO,NO,NO,NO,500.0,0.0,0.0,5.0,500.0,0.0,5.0,0.0,0.0,505.0
LYONDELLBASELL ACETYLS LLC,TX,Chemicals,"1,3-Butadiene",YES,YES,NO,NO,11.0,0.0,0.0,0.0,11.0,0.0,0.0,520.0,0.0,531.0
HYDRITE CHEMICAL CO.,WI,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
